tournament_slug,division,group,position,team,played,wins,losses,games_for,games_against,difference,bonus_points,points,qualification
ipt-goa-grandslam-11-0,Men's Intermediate,F,1,Mehul Bansal / Vaibhav Sahni,3,3,0,24,12,12,0,6,automatic_qualifier
ipt-goa-grandslam-11-0,Men's Intermediate,F,2,Mayank Daga / Shikhar Kumar,3,2,1,19,16,3,0,4,automatic_qualifier
ipt-goa-grandslam-11-0,Men's Intermediate,F,3,Yashvardhan Sarda / Suyash Vishnoi,3,1,2,16,19,-3,0,2,best_third_qualifier
ipt-goa-grandslam-11-0,Men's Intermediate,F,4,Raghul Arvind / Tushar Jain,3,0,3,12,24,-12,0,0,eliminated
ipt-goa-grandslam-11-0,Men's Advance,A,1,Aditya Jagtap / Krishiv Patel,3,3,0,24,2,22,1,7,automatic_qualifier
ipt-goa-grandslam-11-0,Men's Advance,A,2,Varshil Trambadiya / Antariksh Mohandas,3,2,1,17,18,-1,0,4,automatic_qualifier
ipt-goa-grandslam-11-0,Men's Advance,A,3,Adit Patel / Kavin Vendan,3,1,2,15,20,-5,0,2,eliminated
ipt-goa-grandslam-11-0,Men's Advance,A,4,Karan Medappa / Shane Biddaiah,3,0,3,8,24,-16,0,0,eliminated
ipt-goa-grandslam-11-0,Men's Advance,B,1,Aryan Hemdev / Samar Malhotra,3,3,0,24,12,12,1,7,automatic_qualifier
ipt-goa-grandslam-11-0,Men's Advance,B,2,Swaraj Deshmukh / Kaivalya Kalamse,3,2,1,21,13,8,0,4,automatic_qualifier
ipt-goa-grandslam-11-0,Men's Advance,B,3,Krishna Teja Ankam / Gundlapalle Yaswanth Reddy,3,1,2,19,18,1,0,2,eliminated
ipt-goa-grandslam-11-0,Men's Advance,B,4,Ashish Khemlani / Arjun Gupta,3,0,3,3,24,-21,0,0,eliminated
ipt-goa-grandslam-11-0,Men's Advance,C,1,Rahul Motwani / Ishaan Choubal,3,3,0,24,12,12,0,6,automatic_qualifier
ipt-goa-grandslam-11-0,Men's Advance,C,2,Arjun Jashani / Tanay Mehta,3,2,1,22,14,8,0,4,automatic_qualifier
ipt-goa-grandslam-11-0,Men's Advance,C,3,Ziaan Talab / Madhu Samtani,3,1,2,17,20,-3,0,2,eliminated
ipt-goa-grandslam-11-0,Men's Advance,C,4,Advait Bahl / Bhagya Popat,3,0,3,7,24,-17,0,0,eliminated
ipt-goa-grandslam-11-0,Men's Advance,D,1,Jasmer Kapany / Paramveer Bajwa,3,3,0,24,13,11,0,6,automatic_qualifier
ipt-goa-grandslam-11-0,Men's Advance,D,2,Saish Shelar / Mihir Akolkar,3,2,1,20,11,9,0,4,automatic_qualifier
ipt-goa-grandslam-11-0,Men's Advance,D,3,Pranay Merchant / Piyush Bansal,3,1,2,16,23,-7,0,2,eliminated
ipt-goa-grandslam-11-0,Men's Advance,D,4,Aakash Lalith / Famaz Shanavas,3,0,3,11,24,-13,0,0,eliminated
ipt-goa-grandslam-11-0,Men's 40+,A,1,Vijay Chhabria / Rupen Jhaveri,3,3,0,24,6,18,1,7,automatic_qualifier
ipt-goa-grandslam-11-0,Men's 40+,A,2,Saurav Kankaria / Nikhil Khemka,3,2,1,21,11,10,0,4,automatic_qualifier
ipt-goa-grandslam-11-0,Men's 40+,A,3,Sandip Sabharwal / Saurabh Vijewargia,3,1,2,11,21,-10,0,2,eliminated
ipt-goa-grandslam-11-0,Men's 40+,A,4,Karan Mehrotra / James Darbar,3,0,3,6,24,-18,0,0,eliminated
ipt-goa-grandslam-11-0,Men's 40+,B,1,Aditya Maheshwari / Akshay Jalan,4,4,0,32,4,28,1,9,automatic_qualifier
ipt-goa-grandslam-11-0,Men's 40+,B,2,Premal Javeri / Harshvardhan Sharma,4,3,1,25,9,16,2,8,automatic_qualifier
ipt-goa-grandslam-11-0,Men's 40+,B,3,Prabhas Sharma / Shashin Shah,4,2,2,19,17,2,1,5,eliminated
ipt-goa-grandslam-11-0,Men's 40+,B,4,Raj Prajapati / Ashwin Saksena,4,1,3,8,31,-23,0,2,eliminated
ipt-goa-grandslam-11-0,Men's 40+,B,5,Gagan Singh / Jonas Spinoy,4,0,4,9,32,-23,0,0,eliminated
ipt-goa-grandslam-11-0,Women's Beginner,A,1,Shireen Mahajan / Sukhmani Grewal,2,2,0,16,6,10,0,4,automatic_qualifier
ipt-goa-grandslam-11-0,Women's Beginner,A,2,Rhea Mathews / Dinika Thomas,2,1,1,11,11,0,0,2,automatic_qualifier
ipt-goa-grandslam-11-0,Women's Beginner,A,3,Ritika Choudhary / Nupur Gupta,2,0,2,6,16,-10,0,0,eliminated
ipt-goa-grandslam-11-0,Women's Beginner,B,1,Padma Veda Manikonda / Sameeksha Annem,1,1,0,8,4,4,0,2,automatic_qualifier
ipt-goa-grandslam-11-0,Women's Beginner,B,2,Sia Chawla / Armaan Mann,1,0,1,4,8,-4,0,0,eliminated
ipt-goa-grandslam-11-0,Women's Intermediate,A,1,Mansi Malhotra / Rubani Sidhu,3,2,1,23,14,9,0,4,automatic_qualifier
ipt-goa-grandslam-11-0,Women's Intermediate,A,2,Suhani Sabharwal / Karina Phipps,3,2,1,19,15,4,0,4,automatic_qualifier
ipt-goa-grandslam-11-0,Women's Intermediate,A,3,Pooja Kharat / Shabri Agarwal,3,1,2,15,20,-5,0,2,eliminated
ipt-goa-grandslam-11-0,Women's Intermediate,A,4,Tammana Kalra / Anmol Malhotra,3,1,2,15,23,-8,0,2,eliminated
ipt-goa-grandslam-11-0,Women's Advance,A,1,Steisha Buddhala / Amy Bundhel,3,3,0,24,13,11,0,6,automatic_qualifier
ipt-goa-grandslam-11-0,Women's Advance,A,2,Tulsi Mehta / Shraddha Damani,3,2,1,22,22,0,0,4,automatic_qualifier
ipt-goa-grandslam-11-0,Women's Advance,A,3,Shivani Manjanna / Prarthana Prathap,3,1,2,16,18,-2,0,2,eliminated
ipt-goa-grandslam-11-0,Women's Advance,A,4,Radhika Vasudeva / Aashna Mehra,3,0,3,15,24,-9,0,0,eliminated
ipt-goa-grandslam-11-0,Women's Advance,B,1,Vaibhavi Deshmukh / Namita Bal,3,3,0,24,7,17,0,6,automatic_qualifier
ipt-goa-grandslam-11-0,Women's Advance,B,2,Sonashe Bhatnagar / Treta Bhattacharya,3,2,1,18,15,3,0,4,automatic_qualifier
ipt-goa-grandslam-11-0,Women's Advance,B,3,Estelle Mehta / Anisha Mirchandani,3,1,2,15,17,-2,0,2,eliminated
ipt-goa-grandslam-11-0,Women's Advance,B,4,Kyra Pereira / Amaya Kothari,3,0,3,6,24,-18,0,0,eliminated
ipt-goa-grandslam-11-0,Mixed Open,A,1,Tulsi Mehta / Samar Malhotra,3,3,0,24,3,21,1,7,automatic_qualifier
ipt-goa-grandslam-11-0,Mixed Open,A,2,Sonashe Bhatnagar / Siddharth Satheesan,3,2,1,18,15,3,0,4,automatic_qualifier
