player_id,ranking_category,old_points,repriced,unpriced_results
87abe235-1461-4646-936a-96f9332bf256,Men's,160,150.0,0
888d1ad6-14e8-4deb-92d1-40d24f2cb4f1,Men's,42,23.0,0
8896ebce-7533-4862-a50a-1b22d9ee07fd,Women's,36,30.0,0
8999c06a-bd38-4d01-bfa6-016c506be79d,Men's,12,9.0,0
8b01652a-7f96-41a5-9402-e3404a390669,Men's,20,9.0,0
8b41cccf-1066-4688-b02b-cdc037ee1430,Men's,160,150.0,0
8b59dc20-8434-4323-9df5-72b9bcb10d6b,Men's,18,9.0,0
8d79c420-b857-43a4-848f-c52aa91153e7,Men's,21,14.0,0
92c80f2d-5dc8-4614-b205-953fbef21e55,Men's,9,5.0,0
975f7879-28fb-4394-b703-b224787487bf,Men's,18,9.0,0
9809aae4-939b-4443-9dd8-bfe1d06ca943,Men's,50,42.0,0
9db40aca-2be2-4bdd-b807-02ad8bb8bf77,Men's,3280,2760.0,0
9f517b47-d5b5-40bf-b85e-7f0f4f5d3a31,Women's,60,50.0,0
a0b09769-2ade-400c-ad97-c3f1d6ada866,Men's,20,9.0,0
a57ef4ab-a62e-4b71-a4d2-0f267dea2626,Men's,2820,2400.0,0
a66e6971-acb3-41a9-afd1-95c516c348ea,Men's,90,78.0,0
a66e6971-acb3-41a9-afd1-95c516c348ea,Men's 40+,160,108.0,0
a7157d78-91c3-4c0a-9444-a4e402f56e73,Men's,180,108.0,0
a74d7503-db0f-4bca-a110-dd6096dd51a3,Men's,32,14.0,0
a7782cc0-4fe4-4e19-a563-237bb9090168,Men's,20,18.0,0
a7d52a88-016f-4920-b7e4-d1389cef635c,Women's,30,30.0,0
a8725d43-8928-4958-ace6-183c3a63c538,Women's,2320,2160.0,0
a8f6711d-8415-49af-afc4-f8f9a3913a3e,Women's,300,266.0,0
a9d1cebf-249f-4801-ac1c-dc757ebd99a3,Men's,880,378.0,2
ab58ef43-8f50-4f4e-a45b-1087ae59ee35,Men's,33,18.0,0
acfa1b86-681a-4b86-91f3-09eba5e486f5,Men's,9,5.0,0
ad7a226c-306a-42ae-ad22-7cdd8beb4077,Men's,20,9.0,0
b0ab65aa-1c74-4f18-943e-2e151c440ef4,Men's,300,108.0,1
b1c844a3-4542-40b3-8abc-7bd5de93f10b,Men's,18,9.0,0
b4c1f987-ed1c-41b2-bed1-839e3b47d5ff,Men's,120,,1
b4c1f987-ed1c-41b2-bed1-839e3b47d5ff,Men's 40+,720,630.0,0
b5542378-9f9f-457b-a71a-d59aef310080,Men's,15,9.0,0
b90b8354-8c54-43e4-9ff4-e064e26f5d51,Men's,120,,1
ba0bebb9-bb83-4bfc-9c39-a96387beae44,Women's,60,50.0,0
bb9f96a3-0f86-46a8-8484-3d7057fcca01,Men's,54,43.0,0
bf973053-492f-4dca-a909-7310fa8693f9,Men's,720,600.0,1
c02126c6-4418-4f24-8895-867c3e3c89c2,Women's,2320,2160.0,0
c1023ad9-075c-47e5-b684-c5bdb4bbf31a,Men's,30,18.0,0
c6ad7320-117c-4e7a-a4a6-e4c99fb34e23,Men's 40+,1600,1500.0,0
c8c5d555-7efd-4029-bcb6-0973f8bb4e97,Men's,20,18.0,0
cc2048b8-ce98-46c7-9918-b3dbdf5b0385,Men's,86,50.0,0
ccedebb9-64af-42b4-bca1-e01d0b2c1ef5,Women's,36,30.0,0
cdd858a3-1533-4a7b-bf8b-1b94f0f3b868,Men's,520,108.0,3
ce749702-5f83-4cd5-b821-45aeaf7f9848,Men's,150,113.0,0
cebed5c0-9f8f-4458-aaa4-0ee2b6f25f10,Men's,40,36.0,0
cf8b7d94-b472-4c15-b10e-a112da1d3143,Women's,96,90.0,0
d0b763e8-69c1-496a-8a5f-5802e4f9eb88,Men's,15,9.0,0
d1274dd2-48b5-46b9-9049-6a6bcc38fd2e,Men's,480,270.0,0
d4d1cf44-7849-4baa-b956-c56e4613995b,Men's,60,60.0,0
d4d1cf44-7849-4baa-b956-c56e4613995b,Men's 40+,540,468.0,0
d53736bd-2d26-4977-9d4f-edb8ddc49ffb,Men's,300,104.0,1
d647ebc2-b81c-41ed-a991-3bdac08e4f0b,Men's,9,5.0,0
d7b11e8a-e252-4721-9b62-227fb11e43c2,Women's,520,468.0,0
d7b4cb8b-ad06-471e-a741-5873a52775a5,Men's,18,9.0,0
db4244f2-196a-41e4-bd02-f90ae3ea565b,Men's,150,72.0,0
dbd6997d-2211-4a51-9d0e-0676e2966060,Women's,30,25.0,0
ddb10849-80d7-4445-a21f-8b51010f3dee,Men's,30,18.0,0
e190ca21-bb25-46b3-965e-bcb2ffcc3fd3,Women's,760,684.0,0
e3869e84-3ac2-4379-98af-296be1b0d317,Men's,24,14.0,0
e4099cdf-1b05-4993-afa7-214dcbc071b1,Men's,52,23.0,0
e8a4f77d-e880-4d53-b392-51dc1255d7cf,Women's,20,18.0,0
e8bb7691-632b-4e35-afe3-cad46e672610,Men's,32,18.0,0
e9aef618-db1c-42e9-a0ed-c3050a376e4f,Men's,1220,696.0,2
ea36ad45-24c2-4b1d-b812-8ebcf72eb5b2,Men's,100,100.0,0
ea8745f7-50a3-4a17-ae4e-5d13d042ceb4,Women's,336,296.0,0
f075566a-ec58-4d8e-b389-4380d75fba34,Women's,40,36.0,0
f20c5650-e73d-4731-a1b5-5b89be6d623d,Men's,90,66.0,0
f2db3b3d-1aef-4968-a928-0797453d1f8b,Women's,18,9.0,0
f4728606-c9b2-4973-b3b5-68149311c1bc,Women's,108,99.0,0
f5dad384-ffe0-451a-8d85-b6deaa46885b,Women's,124,118.0,0
f890ec3e-8c23-439c-9ea1-cbb778891771,Men's,9,5.0,0
facc6960-33ef-4c75-ab10-4a2a8ad00b6c,Men's,9,5.0,0
fb63a62c-b1a0-4af6-b540-9ba4ba276976,Men's,41,32.0,0
fc6dc5ba-b4e3-4b91-983b-fdfb62b164f5,Men's,12,5.0,0
fdb26ab4-790d-4401-8a7d-80b071cd0b6b,Men's,20,18.0,0
fdd501f4-fc04-4991-b817-c6464e1ac492,Men's,60,50.0,0
ffcf99be-96dd-434c-984f-70de62a8348d,Men's,15,9.0,0
ranked-aakash-sachdev,Men's 40+,480,270.0,0
ranked-aalap-sharma,Men's,24,18.0,0
ranked-aanchal-vijan,Women's,12,9.0,0
ranked-aarav-jain,Men's,18,9.0,0
ranked-aarav-mehta,Men's,160,90.0,0
ranked-aarti-pandit,Women's,400,366.0,0
ranked-aarush-sharma,Men's,24,18.0,0
ranked-aashay-doshi,Men's,30,18.0,0
ranked-aasim-attarwala,Men's,30,25.0,0
ranked-abdul-haadi,Men's,20,9.0,0
ranked-abedin-sham,Men's 40+,480,432.0,0
ranked-abhijeet-kaji,Men's,58,45.0,0
ranked-abhijith-s,Men's,20,9.0,0
ranked-abhinn-kothari,Men's,15,9.0,0
ranked-abhishek-bharara,Men's,12,5.0,0
ranked-abir-sharma,Men's,18,15.0,0
ranked-adarsh-hegde,Men's,9,5.0,0
ranked-adil-kalyanpur,Men's,1020,888.0,0
ranked-aditya-bakshi,Men's,600,396.0,0
ranked-aditya-berry,Men's,18,9.0,0
ranked-aditya-doshi,Men's,40,36.0,0
ranked-aditya-khilnani,Men's,12,5.0,0
ranked-aditya-kumar,Men's,18,9.0,0
ranked-adnan-attarwala,Men's,9,5.0,0
ranked-agisilaos-demetriades,Men's,9,9.0,0
ranked-akash-mahna,Men's,36,30.0,0
ranked-akhil-agarwal,Men's,30,18.0,0
ranked-akshay-popawala,Men's,12,5.0,0
ranked-aksshaye-singhania,Men's,360,162.0,0
ranked-alexander-markos,Men's,24,18.0,0
ranked-ali-uvais,Men's,24,18.0,0
ranked-alia-bhatt,Women's,12,9.0,0
ranked-alisha-chauhan,Women's,120,108.0,0
ranked-alisha-gandhi,Women's,9,5.0,0
ranked-amal-hosangady,Men's,120,,1
ranked-aman-jain,Men's,15,9.0,0
ranked-amanvir-patel,Men's,18,9.0,0
ranked-amay-merchant,Men's,300,162.0,0
ranked-amit-lala,Men's 40+,240,216.0,0
ranked-amogha-shettar,Women's,24,18.0,0
ranked-anant-khaitan,Men's,15,9.0,0
ranked-aneesh-sanghai,Men's,1000,558.0,1
ranked-angad-dev-singh,Men's,30,18.0,0
ranked-angadveer-s,Men's,18,9.0,0
ranked-aniket-nathvani,Men's,120,,1
ranked-aniket-patel,Men's,180,108.0,0
ranked-anosh-paghdiwalla,Men's,20,9.0,0
ranked-ansh-shah,Men's,36,30.0,0
ranked-anshuka-parwani,Women's,12,9.0,0
ranked-anuj-rakyan,Men's,36,30.0,0
ranked-anuj-vagha,Men's,64,28.0,0
ranked-anurag-barmecha,Men's,18,9.0,0
ranked-anurag-rao,Men's,160,108.0,0
ranked-anushka-doshi,Women's,18,15.0,0
ranked-arhaan-shah,Men's,48,34.0,0
ranked-arihant-jhaveri,Men's,15,9.0,0
ranked-arjun-agarwal,Men's,240,,2
ranked-arjun-kochhar,Men's,1060,594.0,1
ranked-arjun-krisson,Men's,24,18.0,0
ranked-arjun-melwani,Men's,50,50.0,0
ranked-arjun-shah,Men's,420,216.0,0
ranked-arnav-ghai,Men's,18,9.0,0
ranked-arohi-choksi,Women's,40,36.0,0
ranked-arsh-jairath,Men's,15,9.0,0
ranked-arshay-jain,Men's,15,9.0,0
ranked-arun-chery,Men's,60,50.0,0
ranked-arundhati-sheth,Women's,18,9.0,0
ranked-aryan-budhiraja,Men's,15,9.0,0
ranked-aryan-sanghvi,Men's,30,18.0,0
ranked-ashish-kumar,Men's,20,9.0,0
ranked-atiff-bham,Men's,50,50.0,0
ranked-aurangzeb-anabagil,Men's,20,9.0,0
ranked-austin-varghese,Men's,240,216.0,0
ranked-avinash-mansukhani,Men's,38,18.0,0
ranked-ayush-grover,Men's,60,60.0,0
ranked-ayushi-mukhopadhyay,Women's,24,18.0,0
ranked-bhanu-arora,Men's,24,18.0,0
ranked-bharat-singh,Men's,9,5.0,0
ranked-bhargav-kodali,Men's,30,30.0,0
ranked-bhishma-desai,Men's,36,30.0,0
ranked-chait-advani,Men's,18,9.0,0
ranked-chirag-pangoriya,Men's,32,14.0,0
ranked-cyrus-aga,Men's 40+,180,108.0,0
ranked-dashrath-somashekar,Men's,12,9.0,0
ranked-deeksha-kumar,Women's,40,36.0,0
ranked-deepak-chugh,Men's,150,72.0,0
ranked-deepak-jaitly,Men's 40+,240,216.0,0
ranked-dev-mehta,Men's,18,15.0,0
ranked-dev-singh,Men's,20,9.0,0
ranked-devrath-sagar,Men's,60,60.0,0
